device_uid,timestamp,event_type,sensor_data,user_id
868032061432054,1779206445,unknown,"{""tE"":{""N"":""70.7""},""hL"":{""N"":""59.2""},""wL"":{""N"":""29.06569""},""tL"":{""N"":""69.44""},""hR"":{""N"":""58.2""},""wR"":{""N"":""29.543692""},""hE"":{""N"":""60.7""},""tR"":{""N"":""73.04""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779210114,unknown,"{""tE"":{""N"":""72.68""},""hL"":{""N"":""58.9""},""wL"":{""N"":""29.155579""},""tL"":{""N"":""72.5""},""hR"":{""N"":""55.9""},""wR"":{""N"":""29.463474""},""hE"":{""N"":""57.3""},""tR"":{""N"":""75.2""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779213643,unknown,"{""tE"":{""N"":""73.76""},""hL"":{""N"":""58""},""wL"":{""N"":""29.316593""},""tL"":{""N"":""74.12""},""hR"":{""N"":""53.7""},""wR"":{""N"":""29.313353""},""hE"":{""N"":""54.9""},""tR"":{""N"":""76.82""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779217243,unknown,"{""tE"":{""N"":""75.02""},""hL"":{""N"":""57.3""},""wL"":{""N"":""29.439688""},""tL"":{""N"":""75.56""},""hR"":{""N"":""51.2""},""wR"":{""N"":""29.140316""},""hE"":{""N"":""52.9""},""tR"":{""N"":""78.44""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779220844,unknown,"{""tE"":{""N"":""76.46""},""hL"":{""N"":""57.6""},""wL"":{""N"":""29.514612""},""tL"":{""N"":""76.82""},""hR"":{""N"":""48""},""wR"":{""N"":""29.039612""},""hE"":{""N"":""47.1""},""tR"":{""N"":""80.24""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779224444,unknown,"{""tE"":{""N"":""76.28""},""hL"":{""N"":""57.4""},""wL"":{""N"":""29.086622""},""tL"":{""N"":""77.36""},""hR"":{""N"":""47.1""},""wR"":{""N"":""28.649256""},""hE"":{""N"":""47.2""},""tR"":{""N"":""80.06""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779228045,unknown,"{""tE"":{""N"":""73.76""},""hL"":{""N"":""55.5""},""wL"":{""N"":""29.148457""},""tL"":{""N"":""76.28""},""hR"":{""N"":""45""},""wR"":{""N"":""28.533573""},""hE"":{""N"":""45.9""},""tR"":{""N"":""78.44""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779231644,unknown,"{""tE"":{""N"":""73.58""},""hL"":{""N"":""55.4""},""wL"":{""N"":""28.893847""},""tL"":{""N"":""74.84""},""hR"":{""N"":""45.3""},""wR"":{""N"":""28.40515""},""hE"":{""N"":""46.5""},""tR"":{""N"":""78.62""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779235244,unknown,"{""tE"":{""N"":""72.5""},""hL"":{""N"":""54.7""},""wL"":{""N"":""28.626244""},""tL"":{""N"":""74.12""},""hR"":{""N"":""44.9""},""wR"":{""N"":""28.553358""},""hE"":{""N"":""47.2""},""tR"":{""N"":""77.54""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779238844,unknown,"{""tE"":{""N"":""70.7""},""hL"":{""N"":""53.8""},""wL"":{""N"":""28.470957""},""tL"":{""N"":""72.5""},""hR"":{""N"":""45.7""},""wR"":{""N"":""28.587845""},""hE"":{""N"":""48.7""},""tR"":{""N"":""75.38""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779242444,unknown,"{""tE"":{""N"":""68.72""},""hL"":{""N"":""53.1""},""wL"":{""N"":""28.352674""},""tL"":{""N"":""70.34""},""hR"":{""N"":""46.3""},""wR"":{""N"":""28.492414""},""hE"":{""N"":""50.6""},""tR"":{""N"":""73.22""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779246044,unknown,"{""tE"":{""N"":""67.46""},""hL"":{""N"":""52.8""},""wL"":{""N"":""28.266827""},""tL"":{""N"":""68.54""},""hR"":{""N"":""47.6""},""wR"":{""N"":""28.588778""},""hE"":{""N"":""53.5""},""tR"":{""N"":""71.42""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779246047,unknown,"{""tE"":{""N"":""67.46""},""hL"":{""N"":""52.8""},""wL"":{""N"":""28.266827""},""tL"":{""N"":""68.54""},""hR"":{""N"":""47.6""},""wR"":{""N"":""28.588778""},""hE"":{""N"":""53.5""},""tR"":{""N"":""71.42""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779249644,unknown,"{""tE"":{""N"":""66.02""},""hL"":{""N"":""52.8""},""wL"":{""N"":""28.183046""},""tL"":{""N"":""68.54""},""hR"":{""N"":""49.5""},""wR"":{""N"":""28.437534""},""hE"":{""N"":""57.5""},""tR"":{""N"":""69.98""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779253245,unknown,"{""tE"":{""N"":""64.58""},""hL"":{""N"":""53.3""},""wL"":{""N"":""28.166397""},""tL"":{""N"":""66.02""},""hR"":{""N"":""51.3""},""wR"":{""N"":""28.439447""},""hE"":{""N"":""60.8""},""tR"":{""N"":""68.54""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779256845,unknown,"{""tE"":{""N"":""64.04""},""hL"":{""N"":""53.3""},""wL"":{""N"":""28.13069""},""tL"":{""N"":""64.76""},""hR"":{""N"":""52""},""wR"":{""N"":""28.385876""},""hE"":{""N"":""57.6""},""tR"":{""N"":""67.46""}}",a47854d8-3051-70fa-00ce-ac30661244a5
868032061432054,1779260444,unknown,"{""tE"":{""N"":""62.78""},""hL"":{""N"":""53.3""},""wL"":{""N"":""28.125687""},""tL"":{""N"":""64.04""},""hR"":{""N"":""51.4""},""wR"":{""N"":""28.565025""},""hE"":{""N"":""58.1""},""tR"":{""N"":""66.92""}}",a47854d8-3051-70fa-00ce-ac30661244a5
